sample_name	collection date	isolate	host	lab host	geographic location	isolation source
sample_237	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_238	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_239	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_240	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_241	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_242	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_243	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_244	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_245	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_246	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_247	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_248	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_249	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_250	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_251	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_252	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_253	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_254	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_255	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_256	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_257	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_258	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_259	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_260	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_261	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_262	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_263	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
